timestamps,TP9,AF7,AF8,TP10,Right AUX
1587068790.292,25.391,-299.805,-305.176,-33.203,0.000
1587068790.296,2.441,-168.457,-202.637,-23.926,0.000
1587068790.300,-121.094,115.723,-23.438,-47.852,0.000
1587068790.303,-110.352,-118.652,-246.582,-52.734,0.000
1587068790.307,9.766,-86.426,-179.688,-32.227,0.000
1587068790.311,31.738,389.160,154.297,-8.301,0.000
1587068790.315,-74.219,299.316,59.082,-9.766,0.000
1587068790.319,-107.910,-324.707,-357.422,-37.598,0.000
1587068790.323,-3.906,-140.625,-202.148,-49.316,0.000
1587068790.327,38.574,485.840,205.078,-37.109,0.000
1587068790.331,-60.547,324.219,98.145,-28.320,0.000
1587068790.335,-116.699,-500.977,-401.367,-40.039,0.000
1587068790.339,-30.762,-533.203,-315.430,-47.363,0.000
1587068790.342,44.922,355.957,240.723,-38.574,0.000
1587068790.346,-24.414,210.449,-22.949,-20.020,0.000
1587068790.350,-126.465,-538.086,-418.945,-26.367,0.000
1587068790.354,-79.102,-305.176,-173.340,-42.480,0.000
1587068790.358,35.645,492.676,221.680,-46.387,0.000
1587068790.362,11.719,351.074,98.145,-27.832,0.000
1587068790.366,-109.863,-344.727,-325.195,-22.949,0.000
1587068790.370,-110.352,-313.477,-310.059,-52.734,0.000
1587068790.374,1.953,379.395,146.484,-66.895,0.000
1587068790.378,32.715,599.121,215.332,-41.992,0.000
1587068790.382,-73.730,-267.578,-272.461,-20.020,0.000
1587068790.385,-135.254,-615.723,-384.277,-44.922,0.000
1587068790.389,-40.039,119.629,40.527,-62.988,0.000
1587068790.393,28.809,467.285,187.500,-35.645,0.000
1587068790.397,-56.641,-129.395,-130.859,-20.508,0.000
1587068790.401,-146.484,-438.965,-351.562,-50.781,0.000
1587068790.405,-55.664,-136.230,-214.355,-67.383,0.000
1587068790.409,55.176,151.855,18.066,-38.574,0.000
1587068790.413,-14.648,202.148,49.316,-18.555,0.000
1587068790.417,-122.559,-98.633,-186.523,-27.344,0.000
1587068790.421,-70.312,-127.441,-241.699,-42.480,0.000
1587068790.425,49.316,224.121,47.363,-36.133,0.000
1587068790.428,26.855,57.129,-12.207,-21.973,0.000
1587068790.432,-109.375,-374.512,-322.754,-42.969,0.000
1587068790.436,-130.371,-158.203,-223.145,-59.570,0.000
1587068790.440,-12.207,-100.098,-163.574,-47.852,0.000
1587068790.444,30.273,-182.129,-156.738,-37.109,0.000
1587068790.448,-82.031,71.777,-4.395,-42.480,0.000
1587068790.452,-134.766,-52.246,-224.121,-50.781,0.000
1587068790.456,-14.648,-300.293,-345.703,-38.574,0.000
1587068790.460,59.082,62.500,-0.977,-18.066,0.000
1587068790.464,-41.992,188.477,-17.578,-20.020,0.000
1587068790.467,-133.789,-338.379,-415.527,-41.504,0.000
1587068790.471,-65.918,-380.859,-352.539,-53.711,0.000
1587068790.475,33.691,29.297,-31.250,-38.574,0.000
1587068790.479,-14.648,369.629,126.953,-24.414,0.000
1587068790.483,-117.188,-2.441,-171.875,-38.574,0.000
1587068790.487,-87.402,-270.996,-310.547,-50.781,0.000
1587068790.491,28.320,298.340,75.195,-30.762,0.000
1587068790.495,21.973,647.949,250.000,-10.742,0.000
1587068790.499,-91.797,-57.617,-199.707,-20.020,0.000
1587068790.503,-98.145,-649.902,-476.074,-29.785,0.000
1587068790.507,15.137,97.168,53.711,-34.180,0.000
1587068790.510,37.109,678.223,280.273,-38.574,0.000
1587068790.514,-80.078,46.875,-153.320,-37.598,0.000
1587068790.518,-120.605,-481.934,-473.145,-35.156,0.000
1587068790.522,-1.953,-130.371,-182.129,-26.367,0.000
1587068790.526,63.965,312.988,154.297,-31.738,0.000
